Unnamed: 0,X,Y,Z
ACC coordinates (MNI),ACC coordinates (MNI),ACC coordinates (MNI),ACC coordinates (MNI)
"Subgenual ACC (Fox et al., ???)",6,16,−10
"Pregenual ACC (Zhou et al., ???)",0,42,6
DLPFC coordinates,DLPFC coordinates,DLPFC coordinates,DLPFC coordinates
"Responders' target (Herbsman et al., ???)",−46,23,49
"Nonresponders' target (Herbsman et al., ???)",−41,17,55
"More effective target (Fitzgerald et al., ???)",−46,45,38
The converted more effective target,−39,40,31
"Less effective target (Fitzgerald et al., ???)",−41,16,54
