Unnamed: 0,MA abstainers,Normal people,P value
Age,32.97 ± 6.85,34.94 ± 6.9,0.2118
Head motion (MEAN_FD_ JENKINSON),0.0655 ± 0.03539,0.06832 ± 0.0443,0.7583
