Brain regions (AAL),Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Number of voxels,Maximum t-value
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1,Unnamed: 5_level_1
ROI: Left dentate nucleus,ROI: Left dentate nucleus,ROI: Left dentate nucleus,ROI: Left dentate nucleus,ROI: Left dentate nucleus,ROI: Left dentate nucleus
Dyskinetic vs. Non-dyskinetic,Dyskinetic vs. Non-dyskinetic,Dyskinetic vs. Non-dyskinetic,Dyskinetic vs. Non-dyskinetic,Dyskinetic vs. Non-dyskinetic,Dyskinetic vs. Non-dyskinetic
Right putamen,15,6,−9,24,4.30
Dyskinetic vs. Controls,,,,,
Right putamen,15,12,−3,95,4.35
Left putamen,−21,0,12,64,4.89
Right postcentral gyrus,66,−15,15,84,4.93
Left paracentral lobule,−3,−33,78,129,5.87
Right supply motor area,3,3,78,24,4.97
Left cerebellum lobule VIII,−15,−60,−36,123,7.84
Non-dyskinetic vs. Controls,Non-dyskinetic vs. Controls,Non-dyskinetic vs. Controls,Non-dyskinetic vs. Controls,Non-dyskinetic vs. Controls,Non-dyskinetic vs. Controls
Right paracentral lobule,6,−36,72,35,4.61
Left precentral gyrus,−54,−3,36,24,4.46
Left cerebellum lobule VIII,−15,−60,−36,42,7.46
ROI: Right dentate nucleus,ROI: Right dentate nucleus,ROI: Right dentate nucleus,ROI: Right dentate nucleus,ROI: Right dentate nucleus,ROI: Right dentate nucleus
Dyskinetic vs. Non-dyskinetic,Dyskinetic vs. Non-dyskinetic,Dyskinetic vs. Non-dyskinetic,Dyskinetic vs. Non-dyskinetic,Dyskinetic vs. Non-dyskinetic,Dyskinetic vs. Non-dyskinetic
,,,,,
Dyskinetic vs. Controls,Dyskinetic vs. Controls,Dyskinetic vs. Controls,Dyskinetic vs. Controls,Dyskinetic vs. Controls,Dyskinetic vs. Controls
Right cerebellum lobule VIII,12,−60,−39,141,10.46
Non-dyskinetic vs. Controls,Non-dyskinetic vs. Controls,Non-dyskinetic vs. Controls,Non-dyskinetic vs. Controls,Non-dyskinetic vs. Controls,Non-dyskinetic vs. Controls
Right cerebellum lobule VIII,12,−60,−36,51,9.44
