Unnamed: 0_level_0,Internal five‐fold CV results (500× bootstrap),Internal five‐fold CV results (500× bootstrap),Internal five‐fold CV results (500× bootstrap),Internal five‐fold CV results (500× bootstrap),Internal five‐fold CV results (500× bootstrap),Internal five‐fold CV results (500× bootstrap),Internal five‐fold CV results (500× bootstrap),Internal five‐fold CV results (500× bootstrap),External validation results (500× bootstrap),External validation results (500× bootstrap),External validation results (500× bootstrap),External validation results (500× bootstrap),External validation results (500× bootstrap),External validation results (500× bootstrap),External validation results (500× bootstrap),External validation results (500× bootstrap)
Unnamed: 0_level_1,Accuracy,Accuracy,AUC,AUC,Sensitivity,Sensitivity,Specificity,Specificity,Accuracy,Accuracy,AUC,AUC,Sensitivity,Sensitivity,Specificity,Specificity
Unnamed: 0_level_2,Obs.,Rel.,Obs.,Rel.,Obs.,Rel.,Obs.,Rel.,Obs.,Rel.,Obs.,Rel.,Obs.,Rel.,Obs.,Rel.
5 min,0.74,‐,0.83,‐,0.71,‐,0.78,‐,0.7,‐,0.78,‐,0.7,‐,0.7,‐
4 min,0.73,0.99,0.82,0.98,0.69,0.97,0.78,1.00,0.7,0.99,0.78,1.00,0.69,0.99,0.71,1.00
3 min,0.74,1.00,0.81,0.97,0.7,0.99,0.78,1.00,0.68,0.98,0.76,0.97,0.67,0.95,0.71,1.00
2 min,0.73,0.98,0.8,0.97,0.67,0.95,0.78,1.00,0.68,0.97,0.74,0.94,0.67,0.96,0.68,0.97
1 min,0.63,0.85,0.69,0.83,0.56,0.80,0.7,0.90,0.57,0.82,0.65,0.82,0.56,0.79,0.6,0.85
