Unnamed: 0,Pre- p-value = 0.0034,Post- p-value = 0.0064,One month Post- p-value = 0.007
Interhemispheric connections,Interhemispheric connections,Interhemispheric connections,Interhemispheric connections
c. PMC – i. SMA,2.98,4.25,3.96
c. M1 – i. PMC,3.24,4.65,4.27
i. M1 – c. PMC,3.55,4.66,3.07
c. PMC – i. PMC,4.02,5.07,4.03
c. M1 – i. SMA,4.99,5.57,5.65
i. PMC – c. SMA,5.20,6.50,5.77
c. M1 – i. M1,5.30,6.15,6.06
i. M1 – c. SMA,8.14,9.06,7.98
c. SMA – i. SMA,10.48,10.30,10.77
Intrahemispheric connections,Intrahemispheric connections,Intrahemispheric connections,Intrahemispheric connections
c. M1 – c. PMC,3.08,3.75,4.47
c. PMC – c. SMA,3.38,4.26,4.14
i. PMC – i. SMA,5.57,6.47,5.69
c. M1 – c. SMA,6.89,7.16,7.17
i. M1 – i. PMC,7.14,7.53,7.32
i. M1 – i. SMA,8.12,9.17,8.45
