Unnamed: 0,MOAD,OOAD
N,8,12
,,
Total,1.2 ± 0.5,1.4 ± 0.7
Memory,1.1 ± 0.6,1.8 ± 0.6???
Orientation,1.1 ± 0.6,1.5 ± 0.7
Decision,1.1 ± 0.6,1.1 ± 0.4
Social,0.9 ± 0.2,1.1 ± 0.7
Family,1.3 ± 0.8,1.4 ± 0.7
Personal Care,0.9 ± 0.6,1.0 ± 0.6
