Within‐network,Network nodes,Male HPT (rho),Female HPT (rho)
Asc,R S1‐L S1,−.54 (LG dwPLI),.56 (beta swPLI)
Asc,R S1‐R thalamus,−.54 (alpha swPLI),Ns
Asc,L S1‐L thalamus,.53 (alpha swPLI),.54 (alpha swPLI)
Asc,L S1‐R thalamus,−.53 (LG sAEC),Ns
Asc,L S1‐L PI,Ns,.51 (alpha swPLI)
Asc,L S2‐R PI,Ns,.53 (theta dAEC)
Asc,R PI‐R thalamus,.53 (theta dwPLI),Ns
Asc,L PI‐L thalamus,.54 (beta dwPLI),Ns
SN,R TPJ‐ R AI,−.56 (LG sAEC),Ns
SN,R TPJ‐R dlPFC,−.57 (LG swPLI),Ns
SN,R AI‐MCC,−.6 (LG dwPLI),Ns
