Unnamed: 0_level_0,Heat pain threshold,Heat pain threshold,Heat pain threshold,Heat pain threshold,Unnamed: 5_level_0,Pain interference,Pain interference,Pain interference,Pain interference
Unnamed: 0_level_1,Theta,Alpha,Beta,Low gamma,Unnamed: 5_level_1,Theta,Alpha,Beta,Low gamma
Within network,Within network,Within network,Within network,Within network,Within network,Within network,Within network,Within network,Within network
SN,,,sFCp,sFCp,,sFCp,,,
Asc,dFCp,,,sFCp,,sFCp,"s,dFCp",,sFCp
DMN,,,,,,,,,
Cross network,Cross network,Cross network,Cross network,Cross network,Cross network,Cross network,Cross network,Cross network,Cross network
SN‐Asc,dFCp,"s,dFCp","s,dFCp","s,dFCp",,"s,dFCp",sFCp,dFCp,"s,dFCp"
SN‐DMN,dFCp,"s,dFCp",,,,sFCp,,,
SN‐Desc,,,,,,,,,dFCp
DMN‐Desc,,,,,,,,,
Asc‐DMN,,"s,dFCp",dFCp,sFCp,,,,,
Asc‐Desc,,,dFCp,,,,,dFCp,
