Within‐network,Network nodes,Male A/P (rho),Female A/P (rho)
Asc,R S1‐L thalamus,−.55 (alpha dwPLI),Ns
Asc,R S1‐R PI,−.59 (alpha swPLI),Ns
Asc,L S1‐L thalamus,−.56 (alpha sAEC),Ns
Asc,L S1‐R S2,−.57 (LG sAEC),Ns
Asc,R S2‐L S2,−.62 (theta sAEC),Ns
Asc,R S2‐L PI,−.58 (theta sAEC),Ns
Asc,R S2‐L thalamus,−.6 (theta swPLI)−.54 (theta dwPLI),Ns
Asc,L S2‐R thalamus,−.54 (theta dAEC),Ns
Asc,L S2‐L thalamus,Ns,.53 (alpha dAEC)−.68 (alpha swPLI)
SN,R AI‐R dlPFC,−.55 (alpha swPLI),Ns
