Mean age (median) ± SD (years),27.5 (28.0) ± 4.6
Mean height ± SD (cm),178.2 ± 6.3
Mean weight ± SD (kg),76.8 ± 9.1
Mean BMI ± SD (kg/m2),24.2 ± 2.8
