Network,"Target (location, brain area)",FC (R-to-Z-transformed),"MNI (x, y, z)",Size (voxels),pFDR
DMN,"Right MFG, ventral dlPFC cortex",6.57,"42, 44, 19",88,0.024
ECN,"Left frontal pole, rmPFC",6.06,"− 3, 59, 7",63,0.042
