Measure,Seed,Target,FC (R-to-Z-transformed),"MNI (x, y, z)",Size (voxels),p-FDR
MPQ-Sensory,pgACC,Left inferior parietal lobule,5.63,"− 51, − 34, 37",124,< 0.001
BPI-Severity,Left aINS,Left angular gyrus,− 5.17,"− 45, − 58, 43",78,0.008
BPI-Severity,pgACC,Left inferior parietal lobule,4.88,"− 45, − 43, 49",60,0.044
BPI-Severity,Right thalamus,Right middle frontal gyrus,6.49,"45, 14, 46",95,0.001
