Region,MNI coordinates,MNI coordinates,MNI coordinates,Size (voxels),Peak T-value
Region,x,y,z,Size (voxels),Peak T-value
MLP＞HC,,,,,
Decreased,,,,,
Calcarine_L,27,−57,3,957.0,−4.8854
Temporal_Inf_R,45,−60,−3,160.0,−5.776
Postcentral_R,42,−21,36,2756.0,−6.2181
Increased,,,,,
Frontal_Mid_L,−39,51,15,332.0,5.0598
Frontal_Mid_L,−39,0,51,746.0,5.6917
Parietal_Inf_L,−39,−54,45,341.0,4.0934
Precuneus_R,0,−57,66,135.0,5.9013
,,,,,
MLP＞MWP,,,,,
Decreased,,,,,
Occipital_Mid_L,−21,−84,0,129.0,−3.506
Frontal_Mid_R,48,48,21,75.0,−4.0058
Frontal_Sup_R,15,6,54,73.0,−3.946
Increased,,,,,
Putamen_L,–33,−9,0,52.0,4.3307
Postcentral_L,−30,−42,54,72.0,3.9527
,,,,,
MWP＞HC,,,,,
Decreased,,,,,
Calcarine_R,21,−69,15,401.0,−4.5608
ParaHippocampal_R,21,−12,−21,52.0,−4.7215
Lingual_L,−15,−45,−6,153.0,−4.1615
Hippocampus_L,−12,−24,0,61.0,−4.5524
Temporal_Inf_R,45,−60,−3,141.0,−5.1138
Lingual_R,6,−69,0,50.0,−4.0392
Postcentral_R,42,−24,18,2427.0,−6.0595
Increased,,,,,
Frontal_Mid_L,−21,54,33,164.0,3.8293
SupraMarginal_L,−63,−39,18,182.0,4.6291
Precentral_L,−42,0,54,597.0,5.9251
Frontal_Sup_R,18,18,48,137.0,3.9668
,,,,,
MRP＞HC,,,,,
Decreased,,,,,
Postcentral_R,54,−18,42,7971.0,−7.0461
Hippocampus_L,−30,−15,−27,85.0,−4.236
Occipital_Inf_L,−42,−63,−6,96.0,−3.8122
Increased,,,,,
Cerebelum_Crus1_R,−3,−87,−39,588.0,4.9369
Frontal_Mid_L,−42,3,51,2726.0,8.1379
Parietal_Inf_L,−42,−39,33,1505.0,5.9089
Caudate_L,−15,−12,24,110.0,5.0663
Parietal_Inf_R,60,−60,42,153.0,4.2373
Frontal_Mid_R,48,24,48,89.0,3.6849
,,,,,
MRP＞MWP,,,,,
Decreased,,,,,
Frontal_Inf_Orb_R,24,39,−9,69.0,−3.904
Frontal_Mid_R,30,39,15,52.0,−4.1849
Increased,,,,,
Cerebelum_Crus2_R,48,−60,−42,127.0,4.3662
Frontal_Mid_L,−51,24,12,481.0,4.3504
Parietal_Inf_L,−45,−42,51,529.0,4.4224
