Regions,MNI,The z Values of FC: Mean ± SD,The z Values of FC: Mean ± SD,The z Values of FC: Mean ± SD,ANCOVA,ANCOVA,ANCOVA
Regions,Coordinates,HC,DEP,SCH,F Value,p Value,Cluster Size
Left orbitofrontal cortex,"−20, 26, −16",0.102 ± 0.673,−0.243 ± 0.603,−0.687 ± 0.466,13.21,<0.001,177
Right orbitofrontal cortex,"16, 22, −18",0.0120 ± 0.594,−0.143 ± 0.637,−0.743 ± 0.384,13.91,<0.001,327
