Brain region,Hemisphere,Cluster size,"MNI coordinates (x, y, z)",Peak F value,Cluster-level PFWE
Thalamus,Right,102,"6, −27, 12",14.49,0.003
Supplementary motor complex,Right,107,"27, 15, 54",12.99,0.003
Supplementary motor complex,Left,103,"−21, 12, 60",12.17,0.003
Cerebellum posterior lobe,Right,92,"21, −42, −51",12.74,0.006
