Brain region,Hemisphere,Cluster size,"MNI coordinates (x, y, z)",Peak F value,Voxel-level PFWE
Hippocampus,Right,32.0,"21, −30, −3",35.04,<0.001
Posterior cingulate cortex,Left,47.0,"−3, −30, 21",28.88,<0.001
Caudate,Left,36.0,"−9, 6, 9",21.57,<0.001
,,,"−12, 15, 9",20.67,<0.001
,,,"−15, 18, −3",15.93,0.023
