Unnamed: 0,Corr1x…,Corr2x…,NMI1x…,NMI2x…
CaseI:y1=2x+ε,0.9847,"1.64 × 10−15 (i.e., 0)",0.3809,0.0161
CaseII:y2=5x−0.52+ε,−0.0271,"−3.91 × 10−17 (i.e., 0)",0.2585,0.2582
CaseIII:y3=5x−0.52+2x+ε,0.8276,"−1.61 × 10−15 (i.e., 0)",0.3139,0.263
