Unnamed: 0_level_0,V1 > V2,V1 > V2,V1 > V3,V1 > V3,V1 > hV4,V1 > hV4,V1 > LO1,V1 > LO1,V1 > LO2,V1 > LO2
RS1,CF size,Beta,CF size,Beta,CF size,Beta,CF size,Beta,CF size,Beta
Unc. CF size,0.06,–0.01,0.11,0.04,0.1,0.07,0.15,0.1,0.1,0.09
Unc. Beta,–0.03,0.01,–0.01,0.01,–0.04,0.01,–0.03,–0.12,–0.01,–0.01
,,,,,,,,,,
RS2,CF size,Beta,CF size,Beta,CF size,Beta,CF size,Beta,CF size,Beta
,,,,,,,,,,
Unc. CF size,0.08,–0.08,0.06,–0.05,0.04,–0.02,0.03,0.02,–0.02,–0.06
Unc. Beta,0.01,–0.01,0.01,–0.02,0.01,–0.03,–0.03,–0.04,–0.02,0.04
