Seed ROI,Brain regions,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Voxels,BA,Peak t score
Seed ROI,Brain regions,X,Y,Z,Voxels,BA,Peak t score
Right posterior cerebellum,R middle/inferior occipital gyrus,36,−93,−6,57,18/19,−4.55
Right posterior cerebellum,L middle temporal gyrus,−57,−24,−6,82,21/22,−4.99
Right posterior cerebellum,L superior frontal gyrus,−15,69,3,46,10,−4.84
Right posterior cerebellum,L insula,−39,−21,18,44,13,−5.04
Right posterior cerebellum,L middle frontal gyrus,−24,51,27,43,9/10,−5.34
Right posterior cerebellum,L precuneus,−6,−66,51,33,7,−4.94
Right posterior cerebellum,R paracentral lobule/L precuneus,−9,−42,69,33,4/5,−4.33
Right insula,L medial frontal gyrus,0,51,24,49,9,−4.20
Right insula,L supplementary motor area,−12,15,66,38,6,−5.98
Left lingual gyrus,R middle/inferior occipital gyrus,42,−87,3,71,18/19,−4.83
