Unnamed: 0_level_0,FC,SW,SW,MST,MST,MST,MST,MST,MST
Unnamed: 0_level_1,Unnamed: 1_level_1,C,L,Dia,Leaf,BC,Th,Ec,K
ADHD Index,0.023,0.04,0.097,0.175*,−0.208*,−0.016,−0.218*,0.112,−0.212*
