Unnamed: 0,Unnamed: 1,Group(N),Group(N).1,Mean ± SD,F-value
Strength,Strength,TDC,69,0.154 ± 0.034,0.472
Strength,Strength,ADHD,119,0.154 ± 0.033,
SW,C,TDC,69,1.221 ± 0.219,.328
SW,C,ADHD,119,1.254 ± 0.193,
SW,L,TDC,69,1.104 ± 0.072,1.209
SW,L,ADHD,119,1.118 ± 0.066,
MST,Dia,TDC,69,0.632 ± 0.099,7.387*
MST,Dia,ADHD,119,0.667 ± 0.089,
MST,Leaf,TDC,69,0.428 ± 0.084,6.098*
MST,Leaf,ADHD,119,0.410 ± 0.071,
MST,BC,TDC,69,0.656 ± 0.060,0.724
MST,BC,ADHD,119,0.649 ± 0.058,
MST,Th,TDC,69,0.022 ± 0.004,5.505*
MST,Th,ADHD,119,0.021 ± 0.004,
MST,Ec,TDC,69,7.224 ± 1.113,2.959
MST,Ec,ADHD,119,7.410 ± 1.016,
MST,K,TDC,69,2.308 ± 0.157,7.780*
MST,K,ADHD,119,2.264 ± 0.123,
