ROI region,Connected brain ROI region,t-value
ESRD vs. HCs,ESRD vs. HCs,ESRD vs. HCs
NBS correction (p < 0.05),NBS correction (p < 0.05),NBS correction (p < 0.05)
PCC,aMPFC,−2.029
,pIPL,−3.040
,Rsp,−2.205
aMPFC,dMPFC,−2.191
,TPJ,−2.058
,Rsp,−3.387
dMPFC,TPJ,−3.040
pIPL,Rsp,−2.329
,PHC,−2.559
