MOT Behavioral Data,MOT Behavioral Data,MOT Behavioral Data,MOT Behavioral Data
Group,Hit Rate,False Alarm,k Score
Meditation,0.64 ± 0.04,0.33 ± 0.06,1.25 ± 0.32
Control,0.57 ± 0.05,0.39 ± 0.05,0.82 ± 0.22
