Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,MNI peak point coordinates,MNI peak point coordinates,MNI peak point coordinates,Unnamed: 6_level_0,Unnamed: 7_level_0
Brain region,BA,Hem,X,Y,Z,t-Value,Voxels
HIPP/ParaHIPP,35,L&R,12,−3,−30,−4.9212,253
PCC,31,L,−15,−66,−12,4.3442,58
MFG,9/10,L,−18,−6,57,4.9545,51
