Characteristic,HM,HC
Men/women,41/48,24/35
Age (years),26.23 ± 5.462,25.78 ± 3.102
ALM (OD),26.67 ± 0.874,23.90 ± 0.971
ALM (OS),26.58 ± 0.985,23.74 ± 0.693
