Brain region,"MNI coordinate (x,y,z)",Voxel size,P-value
EwoM vs. HCs,EwoM vs. HCs,EwoM vs. HCs,EwoM vs. HCs
Left PPN,"10, −23, −17",107,−6.624
Right PPN,"−5, −30, −6",62,7.528
Corpus callosum,"21, 17, 15",67,−5.749
EwM vs. HCs,EwM vs. HCs,EwM vs. HCs,EwM vs. HCs
Left PPN,"6, −25, −14",72,−6.912
Corpus callosum,"25, 16, 10",59,−7.324
EwM VS EwoM,EwM VS EwoM,EwM VS EwoM,EwM VS EwoM
Right PPN,"3, 16, −9",26,−6.940
