Unnamed: 0_level_0,Volumes at,Volumes at,p-value
Unnamed: 0_level_1,baseline (mL),3 months (mL),Unnamed: 3_level_1
Gray matter,668 (57),667 (61),0.78
White matter,559 (79),556 (75),0.46
Total CSF,348 (62),351 (63),0.3
