pmcid,pmid,doi,title,journal,publication_year,license
7550714,33133006,10.3389/fneur.2020.556028,Altered Intrinsic Brain Activity and Functional Connectivity Before and After Knee Arthroplasty in the Elderly: A Resting-State fMRI Study,Front Neurol,2020,http://creativecommons.org/licenses/by/4.0/
8051821,33861794,10.1371/journal.pone.0250222,"Emulative, coherent, and causal dynamics between large-scale brain networks are neurobiomarkers of Accelerated Cognitive Ageing in epilepsy",PLoS One,2021,https://creativecommons.org/licenses/by/4.0/
6169100,30278371,10.1016/j.nicl.2018.09.021,Is impaired information processing speed a matter of structural or functional damage in MS?,Neuroimage Clin,2018,http://creativecommons.org/licenses/by-nc-nd/4.0/
8421703,33990844,10.1093/scan/nsab050,Self-dependent neural variability predicts recovery from depressive symptoms,Soc Cogn Affect Neurosci,2021,https://creativecommons.org/licenses/by/4.0/
9132756,35634207,10.3389/fnhum.2022.878028,Regularized Functional Connectivity in Schizophrenia,Front Hum Neurosci,2022,https://creativecommons.org/licenses/by/4.0/
6546854,31191274,10.3389/fnhum.2019.00164,Machine Learning Based Classification of Resting-State fMRI Features Exemplified by Metabolic State (Hunger/Satiety),Front Hum Neurosci,2019,http://creativecommons.org/licenses/by/4.0/
7814771,33068500,10.1002/hbm.25245,Sex‐differences in network level brain dynamics associated with pain sensitivity and pain interference,Hum Brain Mapp,2020,http://creativecommons.org/licenses/by/4.0/
8668990,34903712,10.1038/s41398-021-01754-4,Effects of escitalopram therapy on resting-state functional connectivity of subsystems of the default mode network in unmedicated patients with major depressive disorder,Transl Psychiatry,2021,https://creativecommons.org/licenses/by/4.0/
8829345,35153877,10.3389/fpsyt.2022.804055,Evidence for Schizophrenia-Specific Pathophysiology of Nicotine Dependence,Front Psychiatry,2022,https://creativecommons.org/licenses/by/4.0/
6692765,31440128,10.3389/fnins.2019.00817,Effects of Estradiol Therapy on Resting-State Functional Connectivity of Transgender Women After Gender-Affirming Related Gonadectomy,Front Neurosci,2019,http://creativecommons.org/licenses/by/4.0/
7758536,33362704,10.3389/fneur.2020.602586,Resting-State Static and Dynamic Functional Abnormalities in Active Professional Fighters With Repetitive Head Trauma and With Neuropsychological Impairments,Front Neurol,2020,http://creativecommons.org/licenses/by/4.0/
7242627,32477198,10.3389/fpsyt.2020.00440,Classifying Autism Spectrum Disorder Using the Temporal Statistics of Resting-State Functional MRI Data With 3D Convolutional Neural Networks,Front Psychiatry,2020,http://creativecommons.org/licenses/by/4.0/
8929635,35298460,10.1371/journal.pbio.3001560,Dynamic changes in brain lateralization correlate with human cognitive performance,PLoS Biol,2022,https://creativecommons.org/licenses/by/4.0/
7031356,32076088,10.1038/s41598-020-60054-x,The orbitofrontal cortex functionally links obesity and white matter hyperintensities,Sci Rep,2020,http://creativecommons.org/licenses/by/4.0/
7014820,31816423,10.1016/j.neuroimage.2019.116435,The effect of global signal regression on DCM estimates of noise and effective connectivity from resting state fMRI,Neuroimage,2020,http://creativecommons.org/licenses/by/4.0/
6291484,30574100,10.3389/fpsyt.2018.00671,Advances in Resting State Neuroimaging of Mild Cognitive Impairment,Front Psychiatry,2018,http://creativecommons.org/licenses/by/4.0/
8166909,34059702,10.1038/s41598-021-90729-y,Longitudinal effects of meditation on brain resting-state functional connectivity,Sci Rep,2021,https://creativecommons.org/licenses/by/4.0/
9437238,35726754,10.1111/cns.13896,Altered resting‐state functional connectivity of the anterior cingulate cortex in rats post noise exposure,CNS Neurosci Ther,2022,https://creativecommons.org/licenses/by/4.0/
6779833,31632336,10.3389/fneur.2019.01039,Altered Resting State Functional Activity and Microstructure of the White Matter in Migraine With Aura,Front Neurol,2019,http://creativecommons.org/licenses/by/4.0/
10086048,37037859,10.1038/s41598-023-32521-8,Altered brain structural and functional connectivity in cannabis users,Sci Rep,2023,https://creativecommons.org/licenses/by/4.0/
7481390,33192358,10.3389/fnbeh.2020.00154,Effects of Autonomous Sensory Meridian Response on the Functional Connectivity as Measured by Functional Magnetic Resonance Imaging,Front Behav Neurosci,2020,http://creativecommons.org/licenses/by/4.0/
6395398,30853902,10.3389/fnana.2019.00022,Resting State Functional Connectivity of the Rat Claustrum,Front Neuroanat,2019,http://creativecommons.org/licenses/by/4.0/
6888786,31792630,10.1186/s40708-019-0101-x,Deterioration from healthy to mild cognitive impairment and Alzheimer’s disease mirrored in corresponding loss of centrality in directed brain networks,Brain Inform,2019,http://creativecommons.org/licenses/by/4.0/
8989057,35434179,10.1117/1.NPh.9.3.032211,Toward an integrative neurovascular framework for studying brain networks,Neurophotonics,2022,https://creativecommons.org/licenses/by/4.0/
6639260,31320690,10.1038/s41598-019-46859-5,Towards prognostic functional brain biomarkers for cervical myelopathy: A resting-state fMRI study,Sci Rep,2019,http://creativecommons.org/licenses/by/4.0/
6370489,30793089,10.1162/netn_a_00070,Dynamic properties of simulated brain network models and empirical resting-state data,Netw Neurosci,2019,http://creativecommons.org/licenses/by/4.0/
