pmcid,collection_id
7004964,TRYHPFXR
9839680,12152
9446009,12651
9915604,ETPEFCDV
6275218,3578
7573534,6746
6303343,VSWQSTDA
8844158,6746
6828953,5449
8371264,9624
9976988,13042
8527880,3731
8120159,1653
8223068,9452
7882172,9039
6906514,4829
