Regions of interest (ROI),"MNI coordinates (x, y, z) (left–right)"
Inferior frontal gyrus (IFG),-50 10 550 10 5
Anterior insula (aINS),-32 15 232 15 2
Ventral premotor cortex (vPMC),-58 1 2358 1 23
