Unnamed: 0,Unnamed: 1,Non-normalized/“as-is”,Normalized/“Z-scored”
Scan-level,SItask,0.13 ± 0.02,0.12 ± 0.01
Group level,SItask,0.01,0.01
,SIsubject,0.05,−0.02
