Hyper-parameters,LE,T-SNE,UMAP
Distance function,"Euclidean, correlation, cosine","Euclidean, correlation, cosine","Euclidean, correlation, cosine"
Neighborhood size,"Knn: [5…200, step = 5]","PP: [5…100, step = 5] + [150, 175, 200]","Knn: [5…200, step = 5]"
# Dimensions,"2, 3, 5, 10, 15, 20, 25, 30","2, 3, 10, 15","2, 3, 5, 10, 15, 20, 25, 30"
Learning rate,,"10, 50, 75, 100, 200, 500, 1,000","0.01, 0.1, 1.0"
Minimum distance,,,0.8
