Method,ACC (%),SEN (%),SPE (%),AUC
Partial,58.18,64.0,53.33,0.796
Group-constrained Partial,63.64,80.0,50.0,0.9
SICE,74.55,80.0,70.0,0.94
Threshold correlation,69.09,60.0,76.67,0.72
MST High-order,74.55,76.0,73.33,0.7067
Group-constrained SICE,81.82,80.0,83.33,0.9667
