Network,Analysis unit,t-Value,p-unc,pFDR,pes
Cortico-striatal–hippocampal regions,L.Putamen – L.SensoriMotor,2.78,0.002,0.048,0.111
,L.Putamen – L.SMA,2.62,0.011,0.048,0.109
,L.Putamen – L.M1,2.55,0.014,0.048,0.1
,L.Putamen – L.Hippocampus,3.21,0.002,0.031,0.136
