FC pairs,Correlation coefficients,Correlation coefficients,t-Value,p-unc,pFDR
Unnamed: 0_level_1,YN,YNN,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1
R.Putamen – SensoriMotor,0.352,−0.433,3.78,<0.001,0.003
R.Putamen – R.M1,0.125,−0.226,2.22,0.018,0.042
L.Putamen – SensoriMotor,0.054,−0.445,3.09,0.002,0.007
L.Putamen – R.M1,0.017,−0.244,2.29,0.015,0.045
R.M1 – R.SMA,0.128,−0.167,2.14,0.02,0.042
