Unnamed: 0,MCC,PCC,Thalamus,ACC,IPL
Delayed free recall,r = −0.386 p < 0.001,r = −0.267 p = 0.008,r = −0.374 p < 0.001,r = −0.232 p = 0.023,r = 0.357 p < 0.001
Memory alteration,r = −0.406 p < 0.001,r = −0.2748 p = 0.007,r = −0.394 p < 0.001,r = −0.233 p = 0.022,r = 0.392 p < 0.001
