Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,MNI coordinates of peak voxel,MNI coordinates of peak voxel,MNI coordinates of peak voxel,Unnamed: 6_level_0,Unnamed: 7_level_0
Right hand>resting,Cluster size,Z max,X,Y,Z,p,Region
Dystonia,38241,7.04,−40,−20,58,<0.001,L precentral gyrus
Dystonia,14347,7.72,16,−52,−18,<0.001,R cerebellum V
Dystonia,701,4.41,−52,−62,8,<0.001,L lateral occipital cortex
Controls,15523,5.44,62,14,36,<0.001,R middle frontal gyrus
Controls,11656,6.74,−34,−22,60,<0.001,L precentral gyrus
Controls,8123,7.16,18,50,−18,<0.001,R cerebellum V
Controls,1404,4.13,2,0,58,<0.001,Juxtapositional lobule cortex???
