Sequence parameters of the resting-state fMRI protocol,Sequence parameters of the resting-state fMRI protocol.1
Nr. of slices,66
Slice thickness (mm),2.0
Voxel size (mm3),2.0 × 2.0 × 2.0
Repetition time (ms),"1,000"
Echo time (ms),32
Flip angle (°),50
Field of view (mm),224
Acquisition time (min),7:11
3DT1 sequence parameters,3DT1 sequence parameters
Nr. of slices,208
Slice thickness (mm),1.0
Voxel size (mm3),1.0 × 1.0 × 1.0
Repetition time (ms),"2,300"
Echo time (ms),2.26
Flip angle (°),8
Field of view (mm),256
Acquisition time (min),4:44
