Measure,Space Mean,Space SD,Time Mean,Time SD
Item correct,0.95,0.059,0.93,0.048
Item correct source correct,0.86,0.13,0.8,0.13
Item reaction time,1.5,0.31,1.58,0.35
Source reaction time,0.94,0.33,0.98,0.39
