Unnamed: 0_level_0,Brain region,Hemisphere,Peak MNI coordinates,T score,Cluster size (voxels)
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,"(x,y,z)",Unnamed: 4_level_1,Unnamed: 5_level_1
fALFF,Inferior temporal gyrus,R,"60, −42, −24",4.8772,77
ReHo,Vermis_8,–,"3, −69, −39",−6.089,27
,Calcarine cortex,R,"27, −51, 6",−6.5194,22
,Precuneus,R,"0, −57, 21",−5.2884,30
,Supramarginal gyrus,R,"42, −42, 42",−5.2124,40
,Middle frontal gyrus,R,"48, 12, 54",−5.7163,31
