Seed region,Brain region,Hemisphere,Peak MNI coordinates,T score,Cluster size (voxels)
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,"(x,y,z)",Unnamed: 4_level_1,Unnamed: 5_level_1
R.MFG,Anterior cingulate cortex,B,"9, 21, −6",−4.2742,118
,Precentral gyrus,L,"−12, −27, 75",−4.5977,148
R.ITG,Precentral gyrus,R,"51, −6, 7",4.7588,62
