Unnamed: 0,Region,CS (n = 34),HC (n = 36),t-value,ES (95%CI),P-value
CS > HC,rh_bankssts,941.24 (150.03),834.78 (86.14),3.666,"−0.877 (−1.367, 0.386)",0.016*
,rh_rACC,662.29 (170.19),542.17 (121.17),3.417,"−0.817 (−1.305, 0.329)",0.018*
