Feature,Accuracy (%),Sensitivity (%),Specificity (%),AUC (%),MCC
ALFF,70.0,67.65,83.33,79.66,0.424
Surface area,68.57,55.88,77.78,66.99,0.398
FCs,85.71,85.29,86.11,90.85,0.715
Combining features,90.0,94.12,86.11,96.41,0.8
