Seed: contrast Labeled brain region,Unnamed: 1_level_0,Peak voxel coordinates,Peak voxel coordinates,Peak voxel coordinates,cluster size,beta,T-value,p-cFWE
Unnamed: 0_level_1,Unnamed: 1_level_1,x,y,z,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1
Seed: Posterior cingulate cortex (postflight > preflight) (df = 14),Seed: Posterior cingulate cortex (postflight > preflight) (df = 14),Seed: Posterior cingulate cortex (postflight > preflight) (df = 14),Seed: Posterior cingulate cortex (postflight > preflight) (df = 14),Seed: Posterior cingulate cortex (postflight > preflight) (df = 14),Seed: Posterior cingulate cortex (postflight > preflight) (df = 14),Seed: Posterior cingulate cortex (postflight > preflight) (df = 14),Seed: Posterior cingulate cortex (postflight > preflight) (df = 14),Seed: Posterior cingulate cortex (postflight > preflight) (df = 14)
No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results
Seed: Posterior cingulate cortex (preflight > postflight) (df = 14),Seed: Posterior cingulate cortex (preflight > postflight) (df = 14),Seed: Posterior cingulate cortex (preflight > postflight) (df = 14),Seed: Posterior cingulate cortex (preflight > postflight) (df = 14),Seed: Posterior cingulate cortex (preflight > postflight) (df = 14),Seed: Posterior cingulate cortex (preflight > postflight) (df = 14),Seed: Posterior cingulate cortex (preflight > postflight) (df = 14),Seed: Posterior cingulate cortex (preflight > postflight) (df = 14),Seed: Posterior cingulate cortex (preflight > postflight) (df = 14)
No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results
Seed: Thalamus (sustained increases: contrast [−1 0.5 0.5]) (df = 10),Seed: Thalamus (sustained increases: contrast [−1 0.5 0.5]) (df = 10),Seed: Thalamus (sustained increases: contrast [−1 0.5 0.5]) (df = 10),Seed: Thalamus (sustained increases: contrast [−1 0.5 0.5]) (df = 10),Seed: Thalamus (sustained increases: contrast [−1 0.5 0.5]) (df = 10),Seed: Thalamus (sustained increases: contrast [−1 0.5 0.5]) (df = 10),Seed: Thalamus (sustained increases: contrast [−1 0.5 0.5]) (df = 10),Seed: Thalamus (sustained increases: contrast [−1 0.5 0.5]) (df = 10),Seed: Thalamus (sustained increases: contrast [−1 0.5 0.5]) (df = 10)
No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results
Seed: Thalamus (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10),Seed: Thalamus (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10),Seed: Thalamus (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10),Seed: Thalamus (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10),Seed: Thalamus (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10),Seed: Thalamus (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10),Seed: Thalamus (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10),Seed: Thalamus (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10),Seed: Thalamus (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10)
"Superior frontal gyrus, R","Superior frontal gyrus, R",24,26,40,348,0.14,7.07,<0.001
"Superior frontal gyrus, L","Superior frontal gyrus, L",−14,38,52,251,0.18,6.42,0.008
"Seed: Angular gyrus, R (sustained increases: contrast [−1 0.5 0.5]) (df = 10)","Seed: Angular gyrus, R (sustained increases: contrast [−1 0.5 0.5]) (df = 10)","Seed: Angular gyrus, R (sustained increases: contrast [−1 0.5 0.5]) (df = 10)","Seed: Angular gyrus, R (sustained increases: contrast [−1 0.5 0.5]) (df = 10)","Seed: Angular gyrus, R (sustained increases: contrast [−1 0.5 0.5]) (df = 10)","Seed: Angular gyrus, R (sustained increases: contrast [−1 0.5 0.5]) (df = 10)","Seed: Angular gyrus, R (sustained increases: contrast [−1 0.5 0.5]) (df = 10)","Seed: Angular gyrus, R (sustained increases: contrast [−1 0.5 0.5]) (df = 10)","Seed: Angular gyrus, R (sustained increases: contrast [−1 0.5 0.5]) (df = 10)"
"Angular gyrus, L","Angular gyrus, L",−32,−64,54,178,0.17,6.78,0.044
"Inferior frontal gyrus (pars triangularis), L","Inferior frontal gyrus (pars triangularis), L",−32,38,04,176,0.17,6.39,0.047
