Behavioral measures,L orbitofrontal cortex,L orbitofrontal cortex,Lateral occipital cortex,Lateral occipital cortex
Behavioral measures,R,p value,R,p value
NPI-Q,− 0.34,6.32 × 10−04,− 0.38,1.49 × 10−04
MMSE,0.41,3.30 × 10−05,0.38,1.41 × 10−04
FAQ,− 0.48,8.97 × 10−07,− 0.46,2.45 × 10−06
Global CDR,− 0.79,2.16 × 10−21,− 0.83,1.33 × 10−25
