Behavioral measures,Lateral occipital cortex,Lateral occipital cortex
Behavioral measures,R,p value
NPI-Q,− 0.24,1.86×10−02
MMSE,0.34,1.52×10−03
FAQ,− 0.36,3.81×10−04
Global CDR,− 0.45,3.11×10−06
