Performance category,Performance category.1,sICA outperforms tICA,tICA outperforms sICA,sICA and tICA equivalent
Noise identification,By R2 ratio (???),y-translation z-translation,FD,PETCO2 RVT HRV DVARS SVAR x-translation x-rotation y-rotation z-rotation
Noise removal,By R2 ratio (???),y-translation z-translation y-rotation z-rotation,FD,PETCO2 RVT HRV DVARS SVAR x-translation x-rotation
,By connectivity accuracy (???),,PETCO2 RVT HRV Z-translation DVARS,FD SVAR x-translation y-translation x-rotation y-rotation z-rotation
,By connectivity specificity (???),y-translation z-translation x-rotation,,PETCO2 RVT HRV DVARS SVAR FD x-translation y-rotation z-rotation
