Unnamed: 0,PNE,TDC,t value,P value
lPVT-rPVT,1.55 ± 0.43,1.47 ± 0.33,0.713,0.479
lPVT-lNAc,0.03 ± 0.27,0.19 ± 0.24,− 2.261,0.028*
lPVT-rNAc,0.02 ± 0.30,0.17 ± 0.30,− 1.752,0.086
rPVT-lNAc,0.02 ± 0.29,0.17 ± 0.22,− 1.988,0.052
rPVT-rNAc,0.11 ± 0.30,0.24 ± 0.30,− 1.651,0.105
lNAc-rNAc,0.59 ± 0.28,0.73 ± 0.34,− 1.580,0.120
