Unnamed: 0,PNEALFF,TDALFF,t value,P value,PNEDC,TDDC,t value.1,P value.1
lPVT,0.85 ± 0.85,0.74 ± 0.72,0.496,0.622,− 0.70 ± 0.32,− 0.68 ± 0.49,− 0.152,0.88
rPVT,0.83 ± 0.76,0.53 ± 0.53,1.664,0.102,− 0.63 ± 0.46,− 0.64 ± 0.52,0.052,0.959
lNAc,− 0.26 ± 0.20,− 0.19 ± 0.27,− 1.166,0.249,0.01 ± 0.67,0.01 ± 0.68,0.027,0.979
rNAc,− 0.32 ± 0.27,− 0.30 ± 0.23,− 0.205,0.839,0.04 ± 0.69,0.05 ± 0.51,− 0.053,0.958
