Unnamed: 0,Unnamed: 1,Mean dwell time (95% CI),Fraction of states (95% CI),Number of state transitions (95% CI)
"22 TRs, k = 3",State 1,"0.64 (0.18, 0.87)","0.78 (0.41, 0.93)","0.29 (0.13, 0.65)"
"22 TRs, k = 3",State 2,"0.39 (−0.12, 0.76)","0.59 (0.11, 0.85)","0.29 (0.13, 0.65)"
"22 TRs, k = 3",State 3,"0.61 (0.09, 0.86)","0.94 (0.82, 0.98)","0.29 (0.13, 0.65)"
"22 TRs, k = 4",State 1,"0.63 (0.16, 0.87)","0.89 (0.68, 0.96)","0.68 (0.05, 0.90)"
"22 TRs, k = 4",State 2,"0.71 (0.28, 0.9)","0.98 (0.92, 0.99)","0.68 (0.05, 0.90)"
"22 TRs, k = 4",State 3,"−0.06 (−0.52, 0.47)","−0.03 (−0.51, 0.49)","0.68 (0.05, 0.90)"
"22 TRs, k = 4",State 4,"0.81 (0.49,0.94)","0.96 (0.88, 0.99)","0.68 (0.05, 0.90)"
"30 TRs, k = 3",State 1,"0.86 (0.61, 0.95)","0.82 (0.52, 0.94)","0.36 (0.09, 0.81)"
"30 TRs, k = 3",State 2,"0.42 (−0.12, 0.78)","0.604 (0.13, 0.86)","0.36 (0.09, 0.81)"
"30 TRs, k = 3",State 3,"0.55 (0.004, 0.84)","0.83 (0.52, 0.94)","0.36 (0.09, 0.81)"
