Subject ID,EO_left SMN,EO_right SMN,EC_left SMN,EC_right SMN
Sub001,4.0,16.0,3.0,7.0
Sub002,27.0,0.0,41.0,0.0
Sub003,0.0,12.0,3.0,12.0
Sub004,14.0,0.0,4.0,24.0
Sub005,52.0,0.0,3.0,0.0
Sub006,32.0,23.0,17.0,13.0
Sub007,7.0,79.0,35.0,31.0
Sub008,3.0,24.0,4.0,55.0
Sub009,20.0,0.0,39.0,3.0
Sub011,58.0,33.0,42.0,47.0
Sub012,0.0,7.0,78.0,4.0
Sub013,19.0,27.0,36.0,51.0
Sub014,62.0,25.0,4.0,16.0
Sub015,30.0,21.0,7.0,26.0
Sub016,0.0,62.0,18.0,0.0
Sub017,19.0,4.0,4.0,40.0
Sub018,31.0,15.0,21.0,18.0
Sub019,24.0,19.0,7.0,26.0
Sub020,24.0,0.0,21.0,3.0
Sub021,3.0,25.0,5.0,0.0
Mean,21.45,19.6,19.6,18.8
STD,19.02,20.61,20.0,18.11
