Dataset,Category,Gender (M/F),Age,FIQ
NYU,ASD (N = 79),68/11,14.51 ± 6.23,107.92 ± 3.15
,NC (N = 105),79/26,15.80 ± 3.23,113.15 ± 2.45
UM,ASD (N = 68),58/10,13.13 ± 2.41,105.46 ± 17.28
,NC (N = 77),59/18,14.79 ± 3.57,108.12 ± 9.80
