Network,Seed,Center of mass MNI coordinates (mm),Size (mm3)
Visual,Primary,"2, −79, −12","79,224"
,Ventral,"0, −93, −4","48,712"
,Right dorsal,"38, −72, 13","33,968"
,Left dorsal,"−37, −79, 10","24,832"
Default-mode,Posterior cingulate/precuneus,"1, −61, 38","38,664"
,Medial prefrontal,"1, 55, −3","10,768"
,Right inferior parietal,"47, −67, 29","10,608"
,Left inferior parietal,"−39, −77, 33","8,328"
