Seed,Target,Direction,x,y,z,Size,p value
Caudate head—ventral (CHv),Left hippocampus (HC),—,−22,−42,2,108,.009
Caudate head—anterior (CHa),"Cingulate gyrus, posterior (PCing)",—,−2,−22,36,189,<.001
