Contrast,Brain regions,"MNI coordinates (x, y, z) (mm)",Numbers of voxels,Peakt-valuea
FD_post vs. FD_pre,PostCG (L),"(−51, −21, 51)",40,4.536
FD_pre vs. HC_pre,MFG (R),"(30, 18, 57)",81,4.528
FD_post vs. HC_post,ACC,"(−3, 30, 18)",33,−4.073
HC_post vs. HC_pre,PCu (R),"(6, −72, 45)",50,4.675
Groups* food interaction,IFG (R),"(39, 30, −12)",37,−4.325
