Cluster number,Cluster size (voxels),Peak MNI coordinate,Peak MNI coordinate,Peak MNI coordinate,Peak MNI coordinate region,F value,T-value difference between ROT and PT,T-value difference between ROT and control group,T-value difference between PT and control group
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1
1,150,45,–51,60,Right SPG,14.86,No significant difference,–3.78,–4.66
2,83,6,15,72,Right dorsolateral SFG,14.98,No significant difference,–3.62,–3.84
3,43,9,54,48,Left superior medial frontal gyrus,13.44,No significant difference,–3.36,–4.23
