Region,Unique clusters
Cluster 1,"Right insula (32 voxels; 38, 21, 2)"
Cluster 2,"Left ventrolateral prefrontal cortex (13 voxels; −48, 29, −15)Left middle temporal gyrus (9 voxels: −57, 1, –20)Frontal pole/Fp2 (3 voxels: 6 64 10)Left inferior parietal lobule (PGa: 2 voxels; −55, −57, 28)Posterior cingulate cortex (2 voxels; 4, 47, 27)"
Cluster 3,"Left superior frontal gyrus (4 voxels; −18, 32, 40)Posterior cingulate cortex (2 voxels; −5, 47, 30)"
Cluster 4,"Possible hypothalamus (9 voxels; 4, −7, −8)"
Cluster 5,"Left superior frontal gyrus (28 voxels; −9, 43, 41)Left central orbitofrontal gyrus (13 voxels; −39, 39, −15)"
Cluster 6,"Thalamus (prefrontal/temporal‐connected regions: 223 voxels; −4, −18, 7)Right caudate (95 voxels; 8, 8, 5)Right pallidum (28 voxels; 20, 0, −6)"
