h,SC,NSC,TSC
1,N11,N12,N1T
2,N21,N21,N2T
3,N31,N32,N3T
.,.,.,.
.,.,.,.
.,.,.,.
H,NH1,NH2,NHT
Total,NT1,NT2,n
