Unnamed: 0,μ[Φmax],CD,Φ*,μ[ρ]
Spatial control,Significant drop,Significant drop,"Change, but no significant drop",Significant drop
Temporal control,Significant drop: strong dependence on order of points in time-series,Significant drop: strong dependence on order of points in time-series,No significant drop: weak dependence on order of points in time-series,No change: no dependence on order of points in time-series
RSNs reflecting awareness level,"FPN, DAN","FPN, DAN, DMN, Retrosplenial",Cingulate networks,All except SM Hand
