Graph density,Modularity (p-value),Clustering coefficient (p-value)
0.05,0.6851 (0.0034∗∗),0.6597 (0.0054∗∗)
0.1,0.6377 (0.0078∗∗),0.6688 (0.0046∗∗)
0.15,0.4915 (0.0531),0.4518 (0.0789)
0.2,0.5316 (0.0340*),0.5355 (0.0325*)
0.25,0.5271 (0.0358*),0.5073 (0.0448*)
