Unnamed: 0_level_0,Control,LLD,p value
Unnamed: 0_level_1,x¯ (SD),x¯ (SD),Unnamed: 3_level_1
Age,"67,7 (4,23)","68,2 (4)",.68
Years of Education,"13,17 (4,33)","6,93 (3,69)",< 0.0001
GDS,"0,9 (1,24)","5,85 (4,44)",< 0.001
MMSE,"28,93 (1,4)","26,7 (2,28)",< 0.001
VocWAIS,"45,45 (8,53)","29,11 (7,62)",<0.001
IQ,"111,62 (9,81)","101,3 (8,15)",<0.0001
HDRS,"0,86 (1,19)","11,59 (7,27)",<0.0001
STAI – S,"7,79 (5,91)","24,48 (13,78)",<0.0001
STAI – T,"11,31 (6,32)","29,81 (13,46)",<0.0001
