Unnamed: 0_level_0,Lateral,Lateral,Lateral,Posterior,Posterior,Posterior,Intermediate,Intermediate,Intermediate,Medial,Medial,Medial,Anterior,Anterior,Anterior
Unnamed: 0_level_1,β,t,p,β,t,p,β,t,p,β,t,p,β,t,p
Intercept,0.00,3.78,<.001,0.00,2.20,0.029,0.00,2.57,.011,0.00,2.37,0.019,0.00,2.99,.003
Externalizing behavior,0.09,1.44,.151,0.13,2.12,0.035,0.17,2.78,.006???,−0.06,−1.02,0.31,0.07,1.13,.258
Age,0.20,3.46,<.001???,0.07,1.26,0.21,0.26,4.40,<.001???,0.13,2.13,0.034,0.20,3.37,.003???
Sex (female),−0.06,−0.88,.380,0.03,0.50,0.617,−0.07,−1.00,.319,−0.07,−1.15,0.253,0.00,0.07,.942
Framewise Displacement,−0.11,−2.04,.043,−0.03,−0.51,0.613,0.05,0.94,.347,−0.05,−0.82,0.414,−0.03,−0.42,.679
