Unnamed: 0_level_0,Caudal,Caudal,Caudal,Dorsal,Dorsal,Dorsal,Rostral,Rostral,Rostral,Perigenual,Perigenual,Perigenual,Subgenual,Subgenual,Subgenual
Unnamed: 0_level_1,β,t,p,β,t,p,β,t,p,β,t,p,β,t,p
Intercept,0.00,4.29,<.001,0.0,−0.77,.502,0.00,−2.89,0.003,0.0,−0.67,.502,0.00,1.10,0.271
Externalizing behavior,0.13,2.40,.017???,0.14,2.38,.018???,0.11,1.71,0.063,0.22,3.62,<.001???,0.02,0.39,0.701
Age,0.34,6.13,<.001???,0.14,2.37,.019???,−0.02,−0.28,0.662,0.03,0.58,.562,0.10,1.69,0.092
Sex (female),−0.04,−0.66,.507,0.09,1.42,.160,0.10,1.40,0.12,0.01,0.11,.916,0.09,1.42,0.159
Framewise Displacement,−0.01,−0.20,.846,0.1,1.83,.069,0.12,2.20,0.032,0.07,1.27,.207,−0.00,−0.05,0.959
