Unnamed: 0,HPW,All PPD,Acupuncture PPD before,Acupuncture PPD after,P-valuesa,P-valuesb,P-valuesc,P-valuesd
Numbers,24,52,22,22,-,-,-,-
Age,32.41 ± 4.26,32.73 ± 3.93,32 ± 3.92,32 ± 3.92,0.753,0.198,0.198,-
Education,16.04 ± 2.49,15.28 ± 2.29,15.72 ± 1.75,15.72 ± 1.75,0.083,0.297,0.297,-
EPDS,4.37 ± 3.24,15.51 ± 5.24,16.45± 6.09,-,< 0.001,< 0.001,< 0.001,-
HAMD,3.75 ± 1.89,14.09 ± 3.76,15.13 ± 3.57,8.09 ± 4.39,< 0.001,< 0.001,< 0.001,< 0.001
